reserved;Target Subsystem Name;Target Object Name;Target Attribute Index;Bas;Std;Adv;Svc
##Module arm;;;;;;;
##ModuleRevision 01;;;;;;;
##FileRevision 122;;;;;;;
;CDT_IDX;CDT_IDX_lockEstimation;0;RO;RW;RW;RW
;CDT_IDX;CDT_IDX_accuracyHigh;0;RO;RW;RW;RW
;CDT_IDX;CDT_IDX_accuracyMiddle;0;RO;RW;RW;RW
;CDT_IDX;CDT_IDX_accuracyLow;0;RO;RW;RW;RW
;CDT_IDX;CDT_IDX_analogGain;0;RO;RW;RW;RW
;CDT_IDX;CDT_IDX_gainCtrl;0;RO;RW;RW;RW
;CDT_IDX;CDT_IDX_gainMaxShift;0;RO;RW;RW;RW
;CDT_IDX;CDT_IDX_lowFlowThreshOn;0;RO;RW;RW;RW
;CDT_IDX;CDT_IDX_staticDecimation;0;RO;RW;RW;RW
;CDT_IDX;CDT_IDX_middleBufDecimation;0;RO;RW;RW;RW
;CDT_IDX;CDT_IDX_freqMinMarginPer;0;RO;RW;RW;RW
;CDT_IDX;CDT_IDX_freqMaxMarginPer;0;RO;RW;RW;RW
;CDT_IDX;CDT_IDX_forceReplace;0;RO;RW;RW;RW
;SERVICEPORT_IDX;SERVICEPORT_IDX_baudRate;0;RO;RW;RW;RW
;CDT_IDX;CDT_IDX_sigAmplitude;0;RO;RW;RW;RW
;CDT_IDX;CDT_IDX_vbrAmplitude;0;RO;RW;RW;RW
;CDT_IDX;CDT_IDX_sigMagnitude;0;RO;RW;RW;RW
;ELETTRONICSERVICES_IDX;ELETTRONICSERVICES_IDX_snrThreshold;0;RO;RW;RW;RW
;CDT_IDX;CDT_IDX_spanUpperRange;0;RO;RW;RW;RW
;CDT_IDX;CDT_IDX_vbrFilStep;0;RO;RW;RW;RW
;CDT_IDX;CDT_IDX_gainLowThresh;0;RO;RW;RW;RW
;CDT_IDX;CDT_IDX_gainHighThresh;0;RO;RW;RW;RW
;CDT_IDX;CDT_IDX_gainMarginFreq;0;RO;RW;RW;RW
;CDT_IDX;CDT_IDX_lowFlowThreshCoef;0;RO;RW;RW;RW
;CDT_IDX;CDT_IDX_frontendOperationHour;0;RO;RW;RW;RW
;CDT_IDX;CDT_IDX_totalWorkingTimeHour;0;RO;RW;RW;RW
;DIGITALOUTPUT_IDX;DIGITALOUTPUT_IDX_pulseNum;0;RO;RW;RW;RW
;TOTALIZER_IDX;TOTALIZER_IDX_totQvOverrollCnt;0;RO;RW;RW;RW
;TOTALIZER_IDX;TOTALIZER_IDX_totQnOverrollCnt;0;RO;RW;RW;RW
;TOTALIZER_IDX;TOTALIZER_IDX_totQmOverrollCnt;0;RO;RW;RW;RW
;TOTALIZER_IDX;TOTALIZER_IDX_totEnergyOverrollCnt;0;RO;RW;RW;RW
;TOTALIZER_IDX;TOTALIZER_IDX_totQvPartialOverrollCnt;0;RO;RW;RW;RW
;TOTALIZER_IDX;TOTALIZER_IDX_totQnPartialOverrollCnt;0;RO;RW;RW;RW
;CDT_IDX;CDT_IDX_frontendMaintenance;0;RO;RW;RW;RW
;SVM_IDX;SVM_IDX_QvMaxDNObj;UOM_PF_value_0;RO;RW;RW;RW
;MVM_IDX;MVM_IDX_QvPartialMaxDNObj;UOM_PF_value_0;RO;RW;RW;RW
;MVM_IDX;MVM_IDX_QmMaxDNObj;UOM_PF_value_0;RO;RW;RW;RW
;MVM_IDX;MVM_IDX_QnMaxDNObj;UOM_PF_value_0;RO;RW;RW;RW
;MVM_IDX;MVM_IDX_QnPartialMaxDNObj;UOM_PF_value_0;RO;RW;RW;RW
;MVM_IDX;MVM_IDX_QpMaxDNObj;UOM_PF_value_0;RO;RW;RW;RW
;SVM_IDX;SVM_IDX_Re;0;RO;RW;RW;RW
;MAPPER_IDX;MAPPER_IDX_dvTExtObj;UOM_PF_value_0;RO;RW;RW;RW
;ELETTRONICSERVICES_IDX;ELETTRONICSERVICES_IDX_elettronicTemperature_Obj;UOM_PF_value_0;RO;RW;RW;RW
;AI_IDX;AI_IDX_aiTempCurr;0;RO;RW;RW;RW
;DIGITALOUTPUT_IDX;DIGITALOUTPUT_IDX_frequencyValue;0;RO;RW;RW;RW
;TOTALIZER_IDX;TOTALIZER_IDX_totOverrollBase;0;RO;RW;RW;RW
;ELETTRONICSERVICES_IDX;ELETTRONICSERVICES_IDX_ambientTemperatureMax_obj;UOM_PF_value_0;RO;RW;RW;RW
;CDT_IDX;CDT_IDX_temperatureMaxRecord_obj;UOM_PF_value_0;RO;RW;RW;RW
;CDT_IDX;CDT_IDX_snr;0;RO;RW;RW;RW
;SVM_IDX;SVM_IDX_KAverageLiquid;0;RO;RW;RW;RW
